Authors,Title,Year,Sampling Methodology,Sample analysis,Size (µm),Results (avg),Uncertainty,Units,Latitude (°N),Longitude (°E)
Liu S.; Bai F.; Men Z.; Gu X.; Wang F.; Li Y.; Liu Q.,"Spatial distribution, source apportionment and potential ecological risk assessment of suspended atmosphere microplastics in different underlying surfaces in Harbin",2023,Sampling,Microscopy; µFTIR,> 11,1.76,,particles m-3,45.76,126.64
Dehhaghi S.; Pardakhti A.,Characterization of microplastics in the atmosphere of megacity Tehran (Iran),2023,Sampling,Microscopy; µRaman,> 2,0.8,,particles m-3,41.35,25.51
Abbasi S.; Rezaei M.; Mina M.; Sameni A.; Oleszczuk P.; Turner A.; Ritsema C.,Entrainment and horizontal atmospheric transport of microplastics from soil,2023,Deposition,Microscopy; µRaman; XRD,> 2,2632,,particles m-2 d-1,36.26,60.51
Chandrakanthan K.; Fraser M.P.; Herckes P.,Airborne microplastics in a suburban location in the desert southwest: Occurrence and identification challenges,2023,Sampling,Microscopy; µRaman,> 2,0.2,,particles m-3,33.42,111.93
Chang D.Y.; Jeong S.; Shin J.; Park J.; Park C.R.; Choi S.; Chun C.-H.; Chae M.-Y.; Lim B.C.,"First quantification and chemical characterization of atmospheric microplastics observed in Seoul, South Korea",2023,Sampling,µFTIR,> 11,0.72,,particles m-3,37.55,127
Zhao C.; Liang J.; Zhu M.; Zheng S.; Zhao Y.; Sun X.,"Occurrence, characteristics, and factors influencing the atmospheric microplastics around Jiaozhou Bay, the Yellow Sea",2023,Deposition,Microscopy; Hardness test; µFTIR,> 11,46.708,,particles m-2 d-1,36.09,120.25
Limsiriwong K.; Winijkul E.,"Exploring Personal Exposure to Airborne Microplastics across Various Work Environments in Pathum Thani Province, Thailand",2023,Sampling,Nile Red; µFTIR,< 10,1301,,particles m-3,14.0034,100.6647
Parashar N.; Hait S.,"Plastic rain—Atmospheric microplastics deposition in urban and peri-urban areas of Patna City, Bihar, India: Distribution, characteristics, transport, and source analysis",2023,Deposition,Microscopy; Nile Red; FESEM-EDX,1.3-4623,1959.6,205,particles m-2 d-1,25.5931,85.0713
Parashar N.; Hait S.,"Plastic rain—Atmospheric microplastics deposition in urban and peri-urban areas of Patna City, Bihar, India: Distribution, characteristics, transport, and source analysis",2023,Deposition,Microscopy; Nile Red; FESEM-EDX,1.3-4623,1320.4,126,particles m-2 d-1,25.5336,84.8506
Abbasi S.; Jaafarzadeh N.; Zahedi A.; Ravanbakhsh M.; Abbaszadeh S.; Turner A.,"Microplastics in the atmosphere of Ahvaz City, Iran",2023,Sampling,Microscopy; SEM-EDX; µRaman,<10,0.004669,0.004486,particles m-3,31.2963,48.6972
Abbasi S.; Jaafarzadeh N.; Zahedi A.; Ravanbakhsh M.; Abbaszadeh S.; Turner A.,"Microplastics in the atmosphere of Ahvaz City, Iran",2023,Sampling,Microscopy; SEM-EDX; µRaman,<10,0.006069,0.003988,particles m-3,31.3069,48.6435
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.048,,particles m-3,30.2,123.06
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.038,,particles m-3,24.97,128.18
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0316,,particles m-3,18.67,134.05
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0226,,particles m-3,12.79,139.81
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0405,,particles m-3,5.12,146.94
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0408,,particles m-3,-4.71,152.56
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0422,,particles m-3,-13.66,155.27
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.048,,particles m-3,-24.05,155.57
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0478,,particles m-3,-34.27,153.05
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0315,,particles m-3,-44.41,150.09
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0246,,particles m-3,-45.85,147.42
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0398,,particles m-3,-54.24,144.16
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.045,,particles m-3,-60.34,129.58
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0297,,particles m-3,-60.89,109.6
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0195,,particles m-3,-61.65,89.95
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0247,,particles m-3,-64.04,103.43
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0344,,particles m-3,-64.39,128.36
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0355,,particles m-3,-64.74,146.33
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0364,,particles m-3,-65.17,151.61
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0445,,particles m-3,-65.27,152.93
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0285,,particles m-3,-65.42,82
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0412,,particles m-3,-65.62,77.77
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.034,,particles m-3,-68.97,76.42
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0224,,particles m-3,-69.3,76.23
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0027,,particles m-3,-73.86,76.97
Chen Q.; Shi G.; Revell L.E.; Zhang J.; Zuo C.; Wang D.; Le Ru E.C.; Wu G.; Mitrano D.M.,Long-range atmospheric transport of microplastics across the southern hemisphere,2023,Sampling,Microscopy; µFTIR,> 20,0.0083,,particles m-3,-73.86,76.97
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0179,,particles m-3,14.4599,120.9948
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0084,,particles m-3,14.6942,120.969
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0012,,particles m-3,14.4818,121.0375
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0143,,particles m-3,14.6345,121.0984
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0024,,particles m-3,14.7505,121.0538
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0119,,particles m-3,14.5092,121.035
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0167,,particles m-3,14.6709,120.9509
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0107,,particles m-3,14.5469,121.0675
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0227,,particles m-3,14.5237,121.012
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0036,,particles m-3,14.5833,121.0367
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0084,,particles m-3,14.3822,121.0298
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0107,,particles m-3,14.5922,120.9808
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0072,,particles m-3,14.5758,121.0643
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0143,,particles m-3,14.6579,120.9477
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.006,,particles m-3,14.6048,121.0317
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.006,,particles m-3,14.5614,121.0434
"Romarate R.A., II; Ancla S.M.B.; Patilan D.M.M.; Inocente S.A.T.; Pacilan C.J.M.; Sinco A.L.; Guihawan J.Q.; Capangpangan R.Y.; Lubguban A.A.; Bacosa H.P.","Breathing plastics in Metro Manila, Philippines: presence of suspended atmospheric microplastics in ambient air",2023,Sampling,Microscopy; µFTIR,159-4807,0.0227,,particles m-3,14.6388,121.0418
Celik-Saglam I.; Yurtsever M.; Civan M.; Yurdakul S.; Cetin B.,"Evaluation of levels and sources of microplastics and phthalic acid esters and their relationships in the atmosphere of highly industrialized and urbanized Gebze, Türkiye",2023,Sampling,Nile Red; ATR-FTIR,>1um,14998,,particles m-3,40.8,29.36
Huang X.; Chen Y.; Meng Y.; Liu G.,Mitigating airborne microplastics pollution from perspectives of precipitation and underlying surface types,2023,Deposition,µFTIR,> 11,192,133,particles m-2 d-1,30.5643,103.9957
Huang X.; Chen Y.; Meng Y.; Liu G.,Mitigating airborne microplastics pollution from perspectives of precipitation and underlying surface types,2023,Deposition,µFTIR,> 11,180,97,particles m-2 d-1,30.5636,103.9965
Kyriakoudes G.; Turner A.,Suspended and deposited microplastics in the coastal atmosphere of southwest England,2023,Sampling,Microscopy; FTIR,> 11,0.082,,particles m-3,50.38,355.86
Kyriakoudes G.; Turner A.,Suspended and deposited microplastics in the coastal atmosphere of southwest England,2023,Deposition,Microscopy; FTIR,> 11,42.48,,particles m-2 d-1,50.38,355.86
Costa-Gómez I.; Suarez-Suarez M.; Moreno J.M.; Moreno-Grau S.; Negral L.; Arroyo-Manzanares N.; López-García I.; Peñalver R.,A novel application of thermogravimetry-mass spectrometry for polystyrene quantification in the PM10 and PM2.5 fractions of airborne microplastics,2023,Sampling,TGA-MS,< 10,2.09,0.8,ng/m3,37.35,359.42
Costa-Gómez I.; Suarez-Suarez M.; Moreno J.M.; Moreno-Grau S.; Negral L.; Arroyo-Manzanares N.; López-García I.; Peñalver R.,A novel application of thermogravimetry-mass spectrometry for polystyrene quantification in the PM10 and PM2.5 fractions of airborne microplastics,2023,Sampling,TGA-MS,<2.5,1.81,0.6,ng/m3,37.35,359.42
Yuan Z.; Pei C.; Li H.; Lin L.; Liu S.; Hou R.; Liao R.; Xu X.,"Atmospheric microplastics at a southern China metropolis: Occurrence, deposition flux, exposure risk and washout effect of rainfall",2023,Sampling,µFTIR,> 11,0.17,,particles m-3,23,113
Yuan Z.; Pei C.; Li H.; Lin L.; Liu S.; Hou R.; Liao R.; Xu X.,"Atmospheric microplastics at a southern China metropolis: Occurrence, deposition flux, exposure risk and washout effect of rainfall",2023,Deposition,µFTIR,> 11,65.94,7.53,particles m-2 d-1,23,113
Li J.; Zhang J.; Ren S.; Huang D.; Liu F.; Li Z.; Zhang H.; Zhao M.; Cao Y.; Mofolo S.; Liang J.; Xu W.; Jones D.L.; Chadwick D.R.; Liu X.; Wang K.,Atmospheric deposition of microplastics in a rural region of North China Plain,2023,Deposition,µFTIR,> 11,11554,,particles m-2 d-1,36.78,114.94
Yuan Z.; Pei C.-L.; Li H.-X.; Lin L.; Hou R.; Liu S.; Zhang K.; Cai M.-G.; Xu X.-R.,Vertical distribution and transport of microplastics in the urban atmosphere: New insights from field observations,2023,Sampling,µFTIR,> 11,0.05,0.03,particles m-3,23.13,113.26
Zhang R.; Jia X.; Wang K.; Lu L.; Li F.; Li J.; Xu L.,"Characteristics, sources and influencing factors of atmospheric deposition of microplastics in three different ecosystems of Beijing, China",2023,Deposition,µFTIR,> 11,125,,particles m-2 d-1,39.58,115.26
Zhang R.; Jia X.; Wang K.; Lu L.; Li F.; Li J.; Xu L.,"Characteristics, sources and influencing factors of atmospheric deposition of microplastics in three different ecosystems of Beijing, China",2023,Deposition,µFTIR,> 11,180,,particles m-2 d-1,40.11,116.26
Zhang R.; Jia X.; Wang K.; Lu L.; Li F.; Li J.; Xu L.,"Characteristics, sources and influencing factors of atmospheric deposition of microplastics in three different ecosystems of Beijing, China",2023,Deposition,µFTIR,> 11,395,,particles m-2 d-1,40.01,116.34
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.063,,particles m-3,18,112
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.044,,particles m-3,19,115
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.059,,particles m-3,16,116
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.146,,particles m-3,11,115
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.031,,particles m-3,10,113
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.017,,particles m-3,12,113
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.017,,particles m-3,15,113
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.058,,particles m-3,15,112
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.042,,particles m-3,15,112
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.016,,particles m-3,15,112
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.045,,particles m-3,15,112
Liu B.; Lu Y.; Deng H.; Huang H.; Wei N.; Jiang Y.; Jiang Y.; Liu L.; Sun K.; Zheng H.,Occurrence of microplastics in the seawater and atmosphere of the South China Sea: Pollution patterns and interrelationship,2023,Sampling,µFTIR,> 11,0.018,,particles m-3,18,111
López-Rosales A.; Ferreiro B.; Andrade J.; Fernández-Amado M.; González-Pleiter M.; López-Mahía P.; Rosal R.; Muniategui-Lorenzo S.,A reliable method to determine airborne microplastics using quantum cascade laser infrared spectrometry,2024,Deposition,QCL-LDIR,> 20,98,,particles m-2 d-1,43.2,-8.21
Xu L.; Li J.; Yang S.; Li Z.; Liu Y.; Zhao Y.; Liu D.; Targino A.C.; Zheng Z.; Yu M.; Xu P.; Sun Y.; Li W.,"Characterization of atmospheric microplastics in Hangzhou, a megacity of the Yangtze river delta, China",2024,Sampling,µRaman,> 2,3.2,0.5,particles m-3,30.3,120.1
Xu L.; Li J.; Yang S.; Li Z.; Liu Y.; Zhao Y.; Liu D.; Targino A.C.; Zheng Z.; Yu M.; Xu P.; Sun Y.; Li W.,"Characterization of atmospheric microplastics in Hangzhou, a megacity of the Yangtze river delta, China",2024,Deposition,µRaman,> 2,1387.8,237.7,particles m-2 d-1,30.3,120.1
Long X.; Zhang S.; Huang D.; Chang C.; Peng C.; Liu K.; Wang K.; Liu X.; Fu T.-M.; Han Y.; Li P.; Han Y.; Cao J.; Li X.; Guo Z.; Chen Y.,Atmospheric Microplastics Emission Source Potentials and Deposition Patterns in Semi-Arid Croplands of Northern China,2024,Sampling,Microscopy; µFTIR,>11,0.088,0.039,particles m-3,42.14,114.81
Du A.; Zhao Y.; Hu C.; Wang X.; Cheng H.; Xia W.; Wang L.; Xing J.,Distribution Characteristics of Atmospheric Microplastics in Typical Desert Agricultural Regions,2024,Sampling,Microscopy; µFTIR,>83,103.21,22.12,particles m-3,40.49,81.32
Myat Y.N.; Kongpran J.; Vattanasit U.; Tanaka S.,Airborne microplastics in the roadside and residential areas of Southern Thailand,2024,Sampling,Microscopy; µFTIR,> 11,0.8,0.43,particles m-3,8.537,99.7
Myat Y.N.; Kongpran J.; Vattanasit U.; Tanaka S.,Airborne microplastics in the roadside and residential areas of Southern Thailand,2024,Sampling,Microscopy; µFTIR,> 11,0.62,0.27,particles m-3,8.537,99.7
Chenappan N.K.; Ibrahim Y.S.; Anuar S.T.; Yusof K.M.K.K.; Jaafar M.; Ahamad F.; Sulaiman W.Z.W.; Mohamad N.,"Quantification and characterization of airborne microplastics in the coastal area of Terengganu, Malaysia",2024,Deposition,Microscopy; µFTIR,> 11,5476,3796,particles m-2 d-1,5.4119,103.0857
Illuminati S.; Notarstefano V.; Tinari C.; Fanelli M.; Girolametti F.; Ajdini B.; Scarchilli C.; Ciardini V.; Iaccarino A.; Giorgini E.; Annibaldi A.; Truzzi C.,"Microplastics in bulk atmospheric deposition along the coastal region of Victoria Land, Antarctica",2024,Deposition,µRaman,5 - 400,1.7,1.1,particles m-2 d-1,-74.7,164.1167
Wang C.; Guo M.; Yan B.; Wei J.; Liu F.; Li Q.; Bo Y.,Characteristics of microplastics in the atmosphere of Anyang City,2024,Sampling,Microscopy; µFTIR,<2.5,0.29,,particles m-3,36.0708,114.3586
Ankit Y.; Ajay K.; Nischal S.; Kaushal S.; Kataria V.; Dietze E.; Anoop A.,"Atmospheric deposition of microplastics in an urban conglomerate near to the foothills of Indian Himalayas: Investigating the quantity, chemical character, possible sources and transport mechanisms",2024,Deposition,Microscopy; µRaman,>2,2256,1221,particles m-2 d-1,30.6653,76.7297
